To check the corellation between care score and survey score and procedure variability and durvey score I calculated the care score similar to the one for best hospitals and procedure variability similar to hospital variability. 
I then mapped them to the survey score for the provider. 

Here is the data for top 100 providers with highest care score and corresponding survey score.

The maximum survey score is 332. As we can see from the table very few of the top 100 providers have survey score over 200. This probably means that a high care score is not directly corelated to survey score.

provider_id, care_score, survey_score
--------------------------------------
340001  2691.0  170
260020  2672.0  115
450388  2662.0  75
440049  2645.0  110
330101  2637.0  38
510070  2599.0  13
030065  2584.0  95
500024  2571.0  61
230072  2467.0  140
060116  2457.0  92
220002  2455.0  182
340116  2449.0  127
520088  2443.0  78
450563  2439.0  129
490075  2437.0  35
160064  2436.0  72
390168  2433.0  87
060100  2428.0  64
160110  2424.0  63
440011  2424.0  18
520049  2422.0  259
050551  2420.0  29
260006  2415.0  156
230277  2413.0  99
340004  2411.0  78
230002  2408.0  65
330193  2405.0  18
310029  2404.0  37
060009  2401.0  110
240115  2401.0  89
050503  2399.0  54
100253  2397.0  117
050308  2393.0  79
450788  2392.0  51
100154  2389.0  155
050084  2383.0  12
100109  2383.0  92
150012  2381.0  58
050280  2378.0  22
520008  2377.0  196
450097  2376.0  15
500079  2374.0  81
360039  2373.0  29
050107  2372.0  122
050570  2372.0  11
370008  2371.0  88
450107  2371.0  35
070020  2371.0  103
260065  2370.0  94
330304  2366.0  167
450610  2366.0  140
050149  2366.0  17
390009  2363.0  55
030036  2362.0  64
330104  2362.0  15
420023  2361.0  122
340032  2359.0  129
440002  2359.0  140
360155  2358.0  72
030115  2358.0  111
330044  2356.0  82
420071  2355.0  165
450723  2354.0  93
240002  2353.0  102
450119  2352.0  58
050169  2350.0  135
450135  2348.0  121
050128  2347.0  84
050516  2346.0  49
420002  2346.0  47
330203  2344.0  47
330226  2343.0  45
050077  2342.0  23
160045  2342.0  169
450058  2342.0  68
050017  2342.0  94
500088  2341.0  51
490120  2341.0  107
450037  2340.0  100
030085  2340.0  38
310052  2340.0  59
050231  2339.0  11
100265  2337.0  96
100092  2334.0  21
220100  2334.0  173
060001  2334.0  131
330024  2331.0  94
440053  2331.0  127
360179  2330.0  48
050464  2329.0  67
340147  2327.0  90
140202  2326.0  100
030088  2325.0  102
050168  2324.0  64
450184  2324.0  95
030093  2324.0  84
140250  2323.0  78
140280  2321.0  76
310057  2320.0  26
050444  2320.0  33

Here is the data for top 100 providers with highest variability across different procedures provided by the provider and corresponding survey score.

Ver few providers have survey score over 150 . This shows that high variability in procedure score corresponds to lower survey score, which makes sense, since the care quality for a provider is not consistent across procedures patients might have varying reviews.

provider_id, procedure_score_deviation, survey_score
-------------------------------------------------
100253  268.6467979351631       117
440011  266.32993195106934      18
100154  264.2816215899321       155
100109  263.93497962450476      92
220002  262.9577447237561       182
340116  262.922817882483        127
230072  262.7752201531389       140
160064  262.7100520128064       72
060116  261.9301978990368       92
160110  261.62607683798007      63
050103  261.44473017977526      120
520049  261.4077275062847       259
060100  261.3106681827637       64
240115  260.91706399872413      89
310052  260.7668440173626       59
520088  260.58670068026987      78
230002  260.5439365196259       65
450788  259.48614842509375      51
390168  259.19427746265495      87
050551  258.9940508338887       29
050570  258.65499833420057      11
050503  258.57561164730043      54
260006  258.56969218043656      156
500026  258.3911763199355       49
490075  258.19838915699165      35
330193  257.2246695249989       18
050077  257.07578490335 23
100092  256.6441990343035       21
030085  256.3088060945871       38
050168  256.12385396801403      64
310029  255.92848171921398      37
050107  255.769666788264        122
060009  255.67166444485005      110
340004  255.54136212187262      78
050516  255.5282643418356       49
050084  255.34842142948645      12
230277  255.06229731225287      99
330226  255.02196784126787      45
450097  254.94697327811812      15
240002  254.93944859315044      102
520008  254.8438497494143       196
450563  254.7844226808545       129
440002  254.76599907702416      140
390009  254.62232936693692      55
050169  254.53976073674298      135
050308  254.52107887528047      79
450107  254.48475356279866      35
360155  254.3807206146098       72
100002  254.20014611662654      44
500088  254.185453749736        51
100275  254.10948949824999      34
500079  254.03117276171812      81
330044  253.9914830646645       82
330055  253.87044743654715      51
340028  253.79173528300558      51
340032  253.73214222876848      129
050280  253.73198136487827      22
150012  253.7076093072657       58
330104  253.3348191864768       15
500014  252.64139302455519      61
050017  252.6317801198626       94
030036  252.49716102667495      64
050149  252.45027798983082      17
450119  252.42198228929496      58
160045  252.29849506535885      169
050231  252.26597560705565      11
070020  252.2208297083639       103
260065  251.95399644881724      94
310057  251.57836446997536      26
390073  251.52871382319557      56
030115  251.10238581754916      111
330203  251.05402296912033      47
310111  251.024756889492        159
100038  250.9632056940716       120
050444  250.9523899882532       33
050128  250.7814724790799       84
110028  250.77756629152864      141
330005  250.62118743601215      25
190002  250.5673562138532       250
360039  250.55652342050772      29
140250  250.45525894796836      78
450723  250.4120685622653       93
420023  250.18719522202016      122
450610  250.17822218798912      140
050464  249.9929794932617       67
440053  249.58880469398346      127
420002  249.41957110254918      47
450058  249.27085506266766      68
490120  249.25824654239176      107
050099  249.2287695909859       43
330024  249.16030410732995      94
450037  249.12631006649406      100
330304  249.0100399582314       167
100246  248.9706973988411       14
050069  248.9329882780931       112
230269  248.64859229237473      52
410009  248.3279595820899       59
110087  248.17834272135505      77
230195  248.14215807122517      11
360179  247.9057589208497       48
